CountyFIPS,PhotoCounts,,CountyFIPS,Contributors
16061,84,,16061,33
38099,113,,38099,28
41031,1351,,41031,323
16077,848,,16077,72
22121,167,,22121,62
41015,2108,,41015,548
40065,78,,40065,28
53053,10797,,53053,1933
46127,110,,46127,24
46089,9,,46089,9
46113,1340,,46113,75
53031,6255,,53031,994
41023,862,,41023,204
53015,1790,,53015,437
5085,111,,5085,36
5071,428,,5071,61
5065,61,,5065,23
5089,309,,5089,94
5067,64,,5067,20
5105,172,,5105,45
40073,295,,40073,24
46075,134,,46075,54
40097,147,,40097,45
5095,103,,5095,28
22099,546,,22099,133
22097,177,,22097,36
5103,121,,5103,20
36087,2308,,36087,399
5119,2979,,5119,372
53067,2605,,53067,472
5083,717,,5083,90
36121,900,,36121,162
22045,281,,22045,73
41043,1842,,41043,418
46107,33,,46107,13
36075,710,,36075,186
38093,359,,38093,56
22125,288,,22125,72
36073,215,,36073,44
36101,1985,,36101,184
36115,809,,36115,142
5117,80,,5117,20
36089,1229,,36089,265
16085,1250,,16085,281
40049,174,,40049,29
5135,131,,5135,32
40037,175,,40037,60
49041,805,,49041,187
16051,796,,16051,58
30105,256,,30105,47
30095,327,,30095,102
38077,114,,38077,30
40133,114,,40133,16
30045,152,,30045,56
46067,38,,46067,10
30097,295,,30097,114
35049,3960,,35049,871
22105,308,,22105,76
41059,1645,,41059,257
5125,140,,5125,54
5137,241,,5137,67
49057,2366,,49057,390
53059,5027,,53059,976
30091,48,,30091,17
41069,826,,41069,199
5131,654,,5131,89
38105,337,,38105,66
38081,36,,38081,8
36113,2682,,36113,452
36119,5654,,36119,897
36109,2241,,36109,356
40131,378,,40131,106
54001,163,,54001,37
54013,21,,54013,5
54017,28,,54017,11
54069,805,,54069,103
54031,280,,54031,69
54023,412,,54023,86
54011,385,,54011,86
54051,151,,54051,44
46097,36,,46097,5
54065,324,,54065,75
54079,184,,54079,39
53069,151,,53069,65
54109,176,,54109,32
54029,106,,54029,40
54077,205,,54077,82
54009,150,,54009,36
41065,1768,,41065,441
54059,160,,54059,24
54003,374,,54003,80
54041,237,,54041,49
54037,2198,,54037,284
54055,500,,54055,91
5129,261,,5129,86
54095,21,,54095,11
54063,315,,54063,57
40075,94,,40075,32
36077,903,,36077,193
41045,1964,,41045,249
40123,165,,40123,23
54049,190,,54049,55
5139,97,,5139,24
54019,1831,,54019,360
54005,105,,54005,24
16059,1686,,16059,195
35057,551,,35057,133
40141,66,,40141,18
54021,46,,54021,10
54053,220,,54053,52
54097,120,,54097,24
54071,978,,54071,195
54015,25,,54015,14
54087,44,,54087,18
54027,184,,54027,48
54105,74,,54105,7
54073,51,,54073,15
54025,708,,54025,124
54093,1184,,54093,192
54099,103,,54099,28
54103,45,,54103,20
39101,286,,39101,33
39063,166,,39063,43
39025,370,,39025,87
39071,217,,39071,34
54033,177,,54033,48
54043,66,,54043,10
54007,330,,54007,26
54081,545,,54081,123
54067,232,,54067,80
54047,160,,54047,31
54089,340,,54089,77
54107,572,,54107,70
54101,130,,54101,46
54035,230,,54035,49
54091,116,,54091,36
54083,621,,54083,109
54045,124,,54045,18
54085,94,,54085,26
54061,813,,54061,185
54075,1431,,54075,200
39125,97,,39125,19
39105,108,,39105,26
39117,641,,39117,50
54057,175,,54057,47
39115,56,,39115,23
39007,648,,39007,138
39157,386,,39157,67
39029,486,,39029,68
39023,259,,39023,67
39135,174,,39135,53
39103,586,,39103,123
39143,306,,39143,55
39051,98,,39051,36
39149,121,,39149,25
39039,119,,39039,19
39015,75,,39015,26
39047,33,,39047,22
39043,1451,,39043,342
39085,817,,39085,208
39053,191,,39053,29
39133,717,,39133,161
39019,67,,39019,25
39021,65,,39021,27
39147,314,,39147,26
39005,448,,39005,81
39073,917,,39073,145
